method,flowType,variableID,fromFrame,toFrame,frameDistance

Calculator2-main-__Ljava_lang_String__V,W,1,0,0,0
Calculator2-main-__Ljava_lang_String__V,W,2,0,0,0
Calculator2-main-__Ljava_lang_String__V,W,3,0,0,0
Calculator2-main-__Ljava_lang_String__V,W,4,0,0,0
Calculator2-main-__Ljava_lang_String__V,W,5,0,0,0
Calculator2-main-__Ljava_lang_String__V,C,?,0,2,2
Calculator2-main-__Ljava_lang_String__V,R,5,0,2,2
Calculator2-main-__Ljava_lang_String__V,C,?,2,1,1
Calculator2-main-__Ljava_lang_String__V,R,1,0,1,1
Calculator2-main-__Ljava_lang_String__V,R,5,0,1,1
Calculator2-main-__Ljava_lang_String__V,R,3,0,1,1
Calculator2-main-__Ljava_lang_String__V,W,3,0,1,1
Calculator2-main-__Ljava_lang_String__V,C,?,1,2,1
Calculator2-main-__Ljava_lang_String__V,R,5,0,2,2
Calculator2-main-__Ljava_lang_String__V,C,?,2,1,1
Calculator2-main-__Ljava_lang_String__V,R,1,0,1,1
Calculator2-main-__Ljava_lang_String__V,R,5,0,1,1
Calculator2-main-__Ljava_lang_String__V,R,3,1,1,0
Calculator2-main-__Ljava_lang_String__V,W,3,1,1,0
Calculator2-main-__Ljava_lang_String__V,C,?,1,2,1
Calculator2-main-__Ljava_lang_String__V,R,5,0,2,2
Calculator2-main-__Ljava_lang_String__V,C,?,2,1,1
Calculator2-main-__Ljava_lang_String__V,R,1,0,1,1
Calculator2-main-__Ljava_lang_String__V,R,5,0,1,1
Calculator2-main-__Ljava_lang_String__V,R,3,1,1,0
Calculator2-main-__Ljava_lang_String__V,W,3,1,1,0
Calculator2-main-__Ljava_lang_String__V,C,?,1,2,1
Calculator2-main-__Ljava_lang_String__V,R,5,0,2,2
Calculator2-main-__Ljava_lang_String__V,C,?,2,1,1
Calculator2-main-__Ljava_lang_String__V,R,1,0,1,1
Calculator2-main-__Ljava_lang_String__V,R,5,0,1,1
Calculator2-main-__Ljava_lang_String__V,R,3,1,1,0
Calculator2-main-__Ljava_lang_String__V,W,3,1,1,0
Calculator2-main-__Ljava_lang_String__V,C,?,1,2,1
Calculator2-main-__Ljava_lang_String__V,R,5,0,2,2
Calculator2-main-__Ljava_lang_String__V,C,?,2,3,1
Calculator2-main-__Ljava_lang_String__V,W,5,0,3,3
Calculator2-main-__Ljava_lang_String__V,C,?,3,5,2
Calculator2-main-__Ljava_lang_String__V,R,5,3,5,2
Calculator2-main-__Ljava_lang_String__V,C,?,5,4,1
Calculator2-main-__Ljava_lang_String__V,R,2,0,4,4
Calculator2-main-__Ljava_lang_String__V,R,5,3,4,1
Calculator2-main-__Ljava_lang_String__V,R,4,0,4,4
Calculator2-main-__Ljava_lang_String__V,W,4,0,4,4
Calculator2-main-__Ljava_lang_String__V,C,?,4,5,1
Calculator2-main-__Ljava_lang_String__V,R,5,3,5,2
Calculator2-main-__Ljava_lang_String__V,C,?,5,4,1
Calculator2-main-__Ljava_lang_String__V,R,2,0,4,4
Calculator2-main-__Ljava_lang_String__V,R,5,3,4,1
Calculator2-main-__Ljava_lang_String__V,R,4,4,4,0
Calculator2-main-__Ljava_lang_String__V,W,4,4,4,0
Calculator2-main-__Ljava_lang_String__V,C,?,4,5,1
Calculator2-main-__Ljava_lang_String__V,R,5,3,5,2
Calculator2-main-__Ljava_lang_String__V,C,?,5,4,1
Calculator2-main-__Ljava_lang_String__V,R,2,0,4,4
Calculator2-main-__Ljava_lang_String__V,R,5,3,4,1
Calculator2-main-__Ljava_lang_String__V,R,4,4,4,0
Calculator2-main-__Ljava_lang_String__V,W,4,4,4,0
Calculator2-main-__Ljava_lang_String__V,C,?,4,5,1
Calculator2-main-__Ljava_lang_String__V,R,5,3,5,2
Calculator2-main-__Ljava_lang_String__V,C,?,5,4,1
Calculator2-main-__Ljava_lang_String__V,R,2,0,4,4
Calculator2-main-__Ljava_lang_String__V,R,5,3,4,1
Calculator2-main-__Ljava_lang_String__V,R,4,4,4,0
Calculator2-main-__Ljava_lang_String__V,W,4,4,4,0
Calculator2-main-__Ljava_lang_String__V,C,?,4,5,1
Calculator2-main-__Ljava_lang_String__V,R,5,3,5,2
Calculator2-main-__Ljava_lang_String__V,C,?,5,6,1
Calculator2-main-__Ljava_lang_String__V,R,3,1,6,5
Calculator2-main-__Ljava_lang_String__V,R,4,4,6,2
