method,flowType,variableID,fromFrame,toFrame,frameDistance

FactorialIterative-main-__Ljava_lang_String__V,R,0,0,0,0
FactorialIterative-main-__Ljava_lang_String__V,W,1,0,0,0
FactorialIterative-main-__Ljava_lang_String__V,R,1,0,0,0
FactorialIterative-main-__Ljava_lang_String__V,C,?,0,1,1
FactorialIterative-main-__Ljava_lang_String__V,R,1,0,1,1
FactorialIterative-<init>-_I_V,R,0,0,0,0
FactorialIterative-<init>-_I_V,R,0,0,0,0
FactorialIterative-<init>-_I_V,R,1,0,0,0
FactorialIterative-factorial-_I_I,W,2,0,0,0
FactorialIterative-factorial-_I_I,C,?,0,2,2
FactorialIterative-factorial-_I_I,R,1,0,2,2
FactorialIterative-factorial-_I_I,C,?,2,1,1
FactorialIterative-factorial-_I_I,R,2,0,1,1
FactorialIterative-factorial-_I_I,R,1,0,1,1
FactorialIterative-factorial-_I_I,W,2,0,1,1
FactorialIterative-factorial-_I_I,C,?,1,2,1
FactorialIterative-factorial-_I_I,R,1,0,2,2
FactorialIterative-factorial-_I_I,C,?,2,1,1
FactorialIterative-factorial-_I_I,R,2,1,1,0
FactorialIterative-factorial-_I_I,R,1,0,1,1
FactorialIterative-factorial-_I_I,W,2,1,1,0
FactorialIterative-factorial-_I_I,C,?,1,2,1
FactorialIterative-factorial-_I_I,R,1,0,2,2
FactorialIterative-factorial-_I_I,C,?,2,1,1
FactorialIterative-factorial-_I_I,R,2,1,1,0
FactorialIterative-factorial-_I_I,R,1,0,1,1
FactorialIterative-factorial-_I_I,W,2,1,1,0
FactorialIterative-factorial-_I_I,C,?,1,2,1
FactorialIterative-factorial-_I_I,R,1,0,2,2
FactorialIterative-factorial-_I_I,C,?,2,1,1
FactorialIterative-factorial-_I_I,R,2,1,1,0
FactorialIterative-factorial-_I_I,R,1,0,1,1
FactorialIterative-factorial-_I_I,W,2,1,1,0
FactorialIterative-factorial-_I_I,C,?,1,2,1
FactorialIterative-factorial-_I_I,R,1,0,2,2
FactorialIterative-factorial-_I_I,C,?,2,3,1
FactorialIterative-factorial-_I_I,R,2,1,3,2
FactorialIterative-main-__Ljava_lang_String__V,C,?,1,3,2
FactorialIterative-main-__Ljava_lang_String__V,R,0,0,0,0
FactorialIterative-main-__Ljava_lang_String__V,W,1,0,0,0
FactorialIterative-main-__Ljava_lang_String__V,R,1,0,0,0
FactorialIterative-main-__Ljava_lang_String__V,C,?,0,1,1
FactorialIterative-main-__Ljava_lang_String__V,R,1,0,1,1
FactorialIterative-<init>-_I_V,R,0,0,0,0
FactorialIterative-<init>-_I_V,R,0,0,0,0
FactorialIterative-<init>-_I_V,R,1,0,0,0
FactorialIterative-factorial-_I_I,W,2,1,0,1
FactorialIterative-factorial-_I_I,C,?,0,2,2
FactorialIterative-factorial-_I_I,R,1,0,2,2
FactorialIterative-factorial-_I_I,C,?,2,3,1
FactorialIterative-factorial-_I_I,R,2,0,3,3
FactorialIterative-main-__Ljava_lang_String__V,C,?,1,3,2
