@RELATION FactorialIterative

@ATTRIBUTE method String 
@ATTRIBUTE flowType {C, R, W} 
@ATTRIBUTE variableID Numeric 
@ATTRIBUTE fromFrame Numeric 
@ATTRIBUTE toFrame Numeric 
@ATTRIBUTE frameDistance Numeric 

@DATA
FactorialIterative-main-__Ljava_lang_String__V,R,0,?,0,?
FactorialIterative-main-__Ljava_lang_String__V,W,1,?,0,?
FactorialIterative-main-__Ljava_lang_String__V,R,1,?,0,?
FactorialIterative-main-__Ljava_lang_String__V,C,?,0,1,1
FactorialIterative-main-__Ljava_lang_String__V,R,1,?,1,?
FactorialIterative-<init>-_I_V,R,0,?,0,?
FactorialIterative-<init>-_I_V,R,0,?,0,?
FactorialIterative-<init>-_I_V,R,1,?,0,?
FactorialIterative-factorial-_I_I,W,2,?,0,?
FactorialIterative-factorial-_I_I,C,?,0,2,2
FactorialIterative-factorial-_I_I,R,1,?,2,?
FactorialIterative-factorial-_I_I,C,?,2,1,1
FactorialIterative-factorial-_I_I,R,2,?,1,?
FactorialIterative-factorial-_I_I,R,1,?,1,?
FactorialIterative-factorial-_I_I,W,2,?,1,?
FactorialIterative-factorial-_I_I,C,?,1,2,1
FactorialIterative-factorial-_I_I,R,1,?,2,?
FactorialIterative-factorial-_I_I,C,?,2,1,1
FactorialIterative-factorial-_I_I,R,2,?,1,?
FactorialIterative-factorial-_I_I,R,1,?,1,?
FactorialIterative-factorial-_I_I,W,2,?,1,?
FactorialIterative-factorial-_I_I,C,?,1,2,1
FactorialIterative-factorial-_I_I,R,1,?,2,?
FactorialIterative-factorial-_I_I,C,?,2,1,1
FactorialIterative-factorial-_I_I,R,2,?,1,?
FactorialIterative-factorial-_I_I,R,1,?,1,?
FactorialIterative-factorial-_I_I,W,2,?,1,?
FactorialIterative-factorial-_I_I,C,?,1,2,1
FactorialIterative-factorial-_I_I,R,1,?,2,?
FactorialIterative-factorial-_I_I,C,?,2,1,1
FactorialIterative-factorial-_I_I,R,2,?,1,?
FactorialIterative-factorial-_I_I,R,1,?,1,?
FactorialIterative-factorial-_I_I,W,2,?,1,?
FactorialIterative-factorial-_I_I,C,?,1,2,1
FactorialIterative-factorial-_I_I,R,1,?,2,?
FactorialIterative-factorial-_I_I,C,?,2,3,1
FactorialIterative-factorial-_I_I,R,2,?,3,?
FactorialIterative-main-__Ljava_lang_String__V,C,?,1,3,2
FactorialIterative-main-__Ljava_lang_String__V,R,0,?,0,?
FactorialIterative-main-__Ljava_lang_String__V,W,1,?,0,?
FactorialIterative-main-__Ljava_lang_String__V,R,1,?,0,?
FactorialIterative-main-__Ljava_lang_String__V,C,?,0,1,1
FactorialIterative-main-__Ljava_lang_String__V,R,1,?,1,?
FactorialIterative-<init>-_I_V,R,0,?,0,?
FactorialIterative-<init>-_I_V,R,0,?,0,?
FactorialIterative-<init>-_I_V,R,1,?,0,?
FactorialIterative-factorial-_I_I,W,2,?,0,?
FactorialIterative-factorial-_I_I,C,?,0,2,2
FactorialIterative-factorial-_I_I,R,1,?,2,?
FactorialIterative-factorial-_I_I,C,?,2,3,1
FactorialIterative-factorial-_I_I,R,2,?,3,?
FactorialIterative-main-__Ljava_lang_String__V,C,?,1,3,2
