@RELATION FactorialRecursive

@ATTRIBUTE method String 
@ATTRIBUTE flowType {C, R, W} 
@ATTRIBUTE variableID Numeric 
@ATTRIBUTE fromFrame Numeric 
@ATTRIBUTE toFrame Numeric 
@ATTRIBUTE frameDistance Numeric 

@DATA
FactorialRecursive-main-__Ljava_lang_String__V,R,0,0,0,0
FactorialRecursive-main-__Ljava_lang_String__V,W,1,0,0,0
FactorialRecursive-main-__Ljava_lang_String__V,R,1,0,0,0
FactorialRecursive-main-__Ljava_lang_String__V,C,?,0,1,1
FactorialRecursive-main-__Ljava_lang_String__V,R,1,0,1,1
FactorialRecursive-<init>-_I_V,R,0,0,0,0
FactorialRecursive-<init>-_I_V,R,0,0,0,0
FactorialRecursive-<init>-_I_V,R,1,0,0,0
FactorialRecursive-factorial-_I_I,R,1,0,0,0
FactorialRecursive-factorial-_I_I,C,?,0,2,2
FactorialRecursive-factorial-_I_I,R,1,0,2,2
FactorialRecursive-factorial-_I_I,R,0,2,2,0
FactorialRecursive-factorial-_I_I,R,1,0,2,2
FactorialRecursive-factorial-_I_I,R,1,0,0,0
FactorialRecursive-factorial-_I_I,C,?,0,2,2
FactorialRecursive-factorial-_I_I,R,1,0,2,2
FactorialRecursive-factorial-_I_I,R,0,2,2,0
FactorialRecursive-factorial-_I_I,R,1,0,2,2
FactorialRecursive-factorial-_I_I,R,1,0,0,0
FactorialRecursive-factorial-_I_I,C,?,0,2,2
FactorialRecursive-factorial-_I_I,R,1,0,2,2
FactorialRecursive-factorial-_I_I,R,0,2,2,0
FactorialRecursive-factorial-_I_I,R,1,0,2,2
FactorialRecursive-factorial-_I_I,R,1,0,0,0
FactorialRecursive-factorial-_I_I,C,?,0,2,2
FactorialRecursive-factorial-_I_I,R,1,0,2,2
FactorialRecursive-factorial-_I_I,R,0,2,2,0
FactorialRecursive-factorial-_I_I,R,1,0,2,2
FactorialRecursive-factorial-_I_I,R,1,0,0,0
FactorialRecursive-factorial-_I_I,C,?,0,1,1
FactorialRecursive-main-__Ljava_lang_String__V,C,?,1,3,2
FactorialRecursive-main-__Ljava_lang_String__V,R,0,0,0,0
FactorialRecursive-main-__Ljava_lang_String__V,W,1,0,0,0
FactorialRecursive-main-__Ljava_lang_String__V,R,1,0,0,0
FactorialRecursive-main-__Ljava_lang_String__V,C,?,0,1,1
FactorialRecursive-main-__Ljava_lang_String__V,R,1,0,1,1
FactorialRecursive-<init>-_I_V,R,0,0,0,0
FactorialRecursive-<init>-_I_V,R,0,0,0,0
FactorialRecursive-<init>-_I_V,R,1,0,0,0
FactorialRecursive-factorial-_I_I,R,1,0,0,0
FactorialRecursive-factorial-_I_I,C,?,0,1,1
FactorialRecursive-main-__Ljava_lang_String__V,C,?,1,3,2
