@RELATION GCDIterative

@ATTRIBUTE method String 
@ATTRIBUTE flowType {C, R, W} 
@ATTRIBUTE variableID Numeric 
@ATTRIBUTE fromFrame Numeric 
@ATTRIBUTE toFrame Numeric 
@ATTRIBUTE frameDistance Numeric 

@DATA
GCDIterative-main-__Ljava_lang_String__V,R,0,?,0,?
GCDIterative-main-__Ljava_lang_String__V,W,1,?,0,?
GCDIterative-main-__Ljava_lang_String__V,R,0,?,0,?
GCDIterative-main-__Ljava_lang_String__V,W,2,?,0,?
GCDIterative-main-__Ljava_lang_String__V,R,1,?,0,?
GCDIterative-main-__Ljava_lang_String__V,R,2,?,0,?
GCDIterative-main-__Ljava_lang_String__V,C,?,0,1,1
GCDIterative-main-__Ljava_lang_String__V,R,2,?,1,?
GCDIterative-main-__Ljava_lang_String__V,C,?,1,2,1
GCDIterative-main-__Ljava_lang_String__V,R,1,?,2,?
GCDIterative-main-__Ljava_lang_String__V,R,2,?,2,?
GCDIterative-<init>-_II_V,R,0,?,0,?
GCDIterative-<init>-_II_V,R,0,?,0,?
GCDIterative-<init>-_II_V,R,1,?,0,?
GCDIterative-<init>-_II_V,R,2,?,0,?
GCDIterative-GCD-_II_I,C,?,0,2,2
GCDIterative-GCD-_II_I,R,2,?,2,?
GCDIterative-GCD-_II_I,C,?,2,1,1
GCDIterative-GCD-_II_I,R,1,?,1,?
GCDIterative-GCD-_II_I,R,2,?,1,?
GCDIterative-GCD-_II_I,W,3,?,1,?
GCDIterative-GCD-_II_I,R,2,?,1,?
GCDIterative-GCD-_II_I,W,1,?,1,?
GCDIterative-GCD-_II_I,R,3,?,1,?
GCDIterative-GCD-_II_I,W,2,?,1,?
GCDIterative-GCD-_II_I,C,?,1,2,1
GCDIterative-GCD-_II_I,R,2,?,2,?
GCDIterative-GCD-_II_I,C,?,2,3,1
GCDIterative-GCD-_II_I,R,1,?,3,?
GCDIterative-main-__Ljava_lang_String__V,C,?,2,4,2
GCDIterative-main-__Ljava_lang_String__V,R,0,?,0,?
GCDIterative-main-__Ljava_lang_String__V,W,1,?,0,?
GCDIterative-main-__Ljava_lang_String__V,R,0,?,0,?
GCDIterative-main-__Ljava_lang_String__V,W,2,?,0,?
GCDIterative-main-__Ljava_lang_String__V,R,1,?,0,?
GCDIterative-main-__Ljava_lang_String__V,R,2,?,0,?
GCDIterative-main-__Ljava_lang_String__V,C,?,0,1,1
GCDIterative-main-__Ljava_lang_String__V,R,2,?,1,?
GCDIterative-main-__Ljava_lang_String__V,C,?,1,2,1
GCDIterative-main-__Ljava_lang_String__V,R,1,?,2,?
GCDIterative-main-__Ljava_lang_String__V,R,2,?,2,?
GCDIterative-<init>-_II_V,R,0,?,0,?
GCDIterative-<init>-_II_V,R,0,?,0,?
GCDIterative-<init>-_II_V,R,1,?,0,?
GCDIterative-<init>-_II_V,R,2,?,0,?
GCDIterative-GCD-_II_I,C,?,0,2,2
GCDIterative-GCD-_II_I,R,2,?,2,?
GCDIterative-GCD-_II_I,C,?,2,1,1
GCDIterative-GCD-_II_I,R,1,?,1,?
GCDIterative-GCD-_II_I,R,2,?,1,?
GCDIterative-GCD-_II_I,W,3,?,1,?
GCDIterative-GCD-_II_I,R,2,?,1,?
GCDIterative-GCD-_II_I,W,1,?,1,?
GCDIterative-GCD-_II_I,R,3,?,1,?
GCDIterative-GCD-_II_I,W,2,?,1,?
GCDIterative-GCD-_II_I,C,?,1,2,1
GCDIterative-GCD-_II_I,R,2,?,2,?
GCDIterative-GCD-_II_I,C,?,2,1,1
GCDIterative-GCD-_II_I,R,1,?,1,?
GCDIterative-GCD-_II_I,R,2,?,1,?
GCDIterative-GCD-_II_I,W,3,?,1,?
GCDIterative-GCD-_II_I,R,2,?,1,?
GCDIterative-GCD-_II_I,W,1,?,1,?
GCDIterative-GCD-_II_I,R,3,?,1,?
GCDIterative-GCD-_II_I,W,2,?,1,?
GCDIterative-GCD-_II_I,C,?,1,2,1
GCDIterative-GCD-_II_I,R,2,?,2,?
GCDIterative-GCD-_II_I,C,?,2,3,1
GCDIterative-GCD-_II_I,R,1,?,3,?
GCDIterative-main-__Ljava_lang_String__V,C,?,2,4,2
