@RELATION GCDRecursive

@ATTRIBUTE method String 
@ATTRIBUTE flowType {C, R, W} 
@ATTRIBUTE variableID Numeric 
@ATTRIBUTE fromFrame Numeric 
@ATTRIBUTE toFrame Numeric 
@ATTRIBUTE frameDistance Numeric 

@DATA
GCDRecursive-main-__Ljava_lang_String__V,R,0,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,W,1,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,R,0,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,W,2,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,R,1,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,R,2,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,C,?,0,1,1
GCDRecursive-main-__Ljava_lang_String__V,R,2,?,1,?
GCDRecursive-main-__Ljava_lang_String__V,C,?,1,2,1
GCDRecursive-main-__Ljava_lang_String__V,R,1,?,2,?
GCDRecursive-main-__Ljava_lang_String__V,R,2,?,2,?
GCDRecursive-<init>-_II_V,R,0,?,0,?
GCDRecursive-<init>-_II_V,R,0,?,0,?
GCDRecursive-<init>-_II_V,R,1,?,0,?
GCDRecursive-<init>-_II_V,R,2,?,0,?
GCDRecursive-GCD-_II_I,R,2,?,0,?
GCDRecursive-GCD-_II_I,C,?,0,2,2
GCDRecursive-GCD-_II_I,R,0,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,2,?
GCDRecursive-GCD-_II_I,R,1,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,0,?
GCDRecursive-GCD-_II_I,C,?,0,1,1
GCDRecursive-GCD-_II_I,R,1,?,1,?
GCDRecursive-main-__Ljava_lang_String__V,C,?,2,4,2
GCDRecursive-main-__Ljava_lang_String__V,R,0,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,W,1,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,R,0,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,W,2,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,R,1,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,R,2,?,0,?
GCDRecursive-main-__Ljava_lang_String__V,C,?,0,1,1
GCDRecursive-main-__Ljava_lang_String__V,R,2,?,1,?
GCDRecursive-main-__Ljava_lang_String__V,C,?,1,2,1
GCDRecursive-main-__Ljava_lang_String__V,R,1,?,2,?
GCDRecursive-main-__Ljava_lang_String__V,R,2,?,2,?
GCDRecursive-<init>-_II_V,R,0,?,0,?
GCDRecursive-<init>-_II_V,R,0,?,0,?
GCDRecursive-<init>-_II_V,R,1,?,0,?
GCDRecursive-<init>-_II_V,R,2,?,0,?
GCDRecursive-GCD-_II_I,R,2,?,0,?
GCDRecursive-GCD-_II_I,C,?,0,2,2
GCDRecursive-GCD-_II_I,R,0,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,2,?
GCDRecursive-GCD-_II_I,R,1,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,0,?
GCDRecursive-GCD-_II_I,C,?,0,2,2
GCDRecursive-GCD-_II_I,R,0,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,2,?
GCDRecursive-GCD-_II_I,R,1,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,2,?
GCDRecursive-GCD-_II_I,R,2,?,0,?
GCDRecursive-GCD-_II_I,C,?,0,1,1
GCDRecursive-GCD-_II_I,R,1,?,1,?
GCDRecursive-main-__Ljava_lang_String__V,C,?,2,4,2
