head,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 0 21 iload 1,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 1 8 iconst_5 ,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 2 96 iadd ,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 3 54 istore 3,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 4 187 new java/lang/StringBuilder,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 6 18 ldc ret > 5: ,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 7 183 invokespecial java.lang.StringBuilder:init:(Ljava.lang.String):V,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 8 21 iload 1,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 9 182 invokevirtual java.lang.StringBuilder:append:(I):Ljava.lang.StringBuilder,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 10 182 invokevirtual java.lang.StringBuilder:toString:():Ljava.lang.String,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 11 58 astore 4,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 12 25 aload 4,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 13 176 areturn 
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 0 21 iload 1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 1 8 iconst_5 ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 2 96 iadd ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 3 54 istore 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 4 187 new java/lang/StringBuilder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 6 18 ldc ret > 5: ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 7 183 invokespecial java.lang.StringBuilder:init:(Ljava.lang.String):V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 8 21 iload 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 9 182 invokevirtual java.lang.StringBuilder:append:(I):Ljava.lang.StringBuilder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 10 182 invokevirtual java.lang.StringBuilder:toString:():Ljava.lang.String,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 11 58 astore 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 12 25 aload 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 13 176 areturn ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
