head,cc.testbase.TemplateMethod:add2:(I):I 2 96 iadd ,cc.testbase.TemplateMethod:forMethod:():V 0 187 new cc/testbase/TemplateMethod,cc.testbase.TemplateMethod:forMethod:():V 3 58 astore 2,cc.testbase.TemplateMethod:forMethod:():V 4 3 iconst_0 ,cc.testbase.TemplateMethod:forMethod:():V 5 54 istore 3,cc.testbase.TemplateMethod:forMethod:():V 6 167 goto L714994516,cc.testbase.TemplateMethod:forMethod:():V 7 25 aload 2,cc.testbase.TemplateMethod:forMethod:():V 8 21 iload 3,cc.testbase.TemplateMethod:forMethod:():V 10 54 istore 4,cc.testbase.TemplateMethod:forMethod:():V 11 132 iinc 3,cc.testbase.TemplateMethod:forMethod:():V 12 21 iload 3,cc.testbase.TemplateMethod:forMethod:():V 13 6 iconst_3 ,cc.testbase.TemplateMethod:forMethod:():V 14 161 if_icmplt L1741825447,cc.testbase.TemplateMethod:forMethod:():V 15 177 return ,cc.testbase.TemplateMethod:forMethod:():V 80000 21 iload 3,cc.testbase.TemplateMethod:init:():V 1 187 new java/util/ArrayList,cc.testbase.TemplateMethod:init:():V 3 183 invokespecial java.util.ArrayList:init:():V,cc.testbase.TemplateMethod:init:():V 4 181 putfield cc.testbase.TemplateMethod.fakeList.Ljava/util/ArrayList;3
cc.testbase.TemplateMethod:add2:(I):I 2 96 iadd ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 0 187 new cc/testbase/TemplateMethod,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
cc.testbase.TemplateMethod:forMethod:():V 3 58 astore 2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 4 3 iconst_0 ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 5 54 istore 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 6 167 goto L714994516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 7 25 aload 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 8 21 iload 3,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 10 54 istore 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 11 132 iinc 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 12 21 iload 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 13 6 iconst_3 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 14 161 if_icmplt L1741825447,0.33333,0.0,0.0,0.0,0.0,0.0,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.0,0.33333,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 15 177 return ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:forMethod:():V 80000 21 iload 3,0.33333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:init:():V 1 187 new java/util/ArrayList,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
cc.testbase.TemplateMethod:init:():V 3 183 invokespecial java.util.ArrayList:init:():V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:init:():V 4 181 putfield cc.testbase.TemplateMethod.fakeList.Ljava/util/ArrayList;3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
