head,cc.testbase.TemplateMethod:increArray:([I):V 0 18 ldc -32769,cc.testbase.TemplateMethod:increArray:([I):V 1 54 istore 3,cc.testbase.TemplateMethod:increArray:([I):V 2 3 iconst_0 ,cc.testbase.TemplateMethod:increArray:([I):V 3 54 istore 4,cc.testbase.TemplateMethod:increArray:([I):V 4 167 goto L727368649,cc.testbase.TemplateMethod:increArray:([I):V 5 25 aload 1,cc.testbase.TemplateMethod:increArray:([I):V 6 21 iload 4,cc.testbase.TemplateMethod:increArray:([I):V 7 8 iconst_5 ,cc.testbase.TemplateMethod:increArray:([I):V 8 79 iastore ,cc.testbase.TemplateMethod:increArray:([I):V 9 132 iinc 4,cc.testbase.TemplateMethod:increArray:([I):V 10 21 iload 4,cc.testbase.TemplateMethod:increArray:([I):V 11 25 aload 1,cc.testbase.TemplateMethod:increArray:([I):V 12 190 arraylength ,cc.testbase.TemplateMethod:increArray:([I):V 13 161 if_icmplt L1407965019,cc.testbase.TemplateMethod:increArray:([I):V 14 177 return 
cc.testbase.TemplateMethod:increArray:([I):V 0 18 ldc -32769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 1 54 istore 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 2 3 iconst_0 ,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 3 54 istore 4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 4 167 goto L727368649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 5 25 aload 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 6 21 iload 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 7 8 iconst_5 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 8 79 iastore ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 9 132 iinc 4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.2,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 10 21 iload 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.0
cc.testbase.TemplateMethod:increArray:([I):V 11 25 aload 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.0,0.0
cc.testbase.TemplateMethod:increArray:([I):V 12 190 arraylength ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16667,0.0
cc.testbase.TemplateMethod:increArray:([I):V 13 161 if_icmplt L1407965019,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.0
cc.testbase.TemplateMethod:increArray:([I):V 14 177 return ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
