head,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 1 8 iconst_5 ,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 2 96 iadd ,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 3 54 istore 3,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 4 187 new java/lang/StringBuilder,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 6 18 ldc ret > 5: ,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 7 183 invokespecial java.lang.StringBuilder:init:(Ljava.lang.String):V,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 9 182 invokevirtual java.lang.StringBuilder:append:(I):Ljava.lang.StringBuilder,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 10 182 invokevirtual java.lang.StringBuilder:toString:():Ljava.lang.String,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 11 58 astore 4,cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 12 25 aload 4,cc.testbase.TemplateMethod:increArray:([I):V 0 18 ldc -32769,cc.testbase.TemplateMethod:increArray:([I):V 1 54 istore 3,cc.testbase.TemplateMethod:increArray:([I):V 2 3 iconst_0 ,cc.testbase.TemplateMethod:increArray:([I):V 3 54 istore 4,cc.testbase.TemplateMethod:increArray:([I):V 4 167 goto L820791943,cc.testbase.TemplateMethod:increArray:([I):V 6 21 iload 4,cc.testbase.TemplateMethod:increArray:([I):V 7 8 iconst_5 ,cc.testbase.TemplateMethod:increArray:([I):V 8 79 iastore ,cc.testbase.TemplateMethod:increArray:([I):V 9 132 iinc 4,cc.testbase.TemplateMethod:increArray:([I):V 10 21 iload 4,cc.testbase.TemplateMethod:increArray:([I):V 12 190 arraylength ,cc.testbase.TemplateMethod:increArray:([I):V 13 161 if_icmplt L1762721320,cc.testbase.TemplateMethod:invoke3Methods:(II):I 0 21 iload 1,cc.testbase.TemplateMethod:invoke3Methods:(II):I 1 21 iload 2,cc.testbase.TemplateMethod:invoke3Methods:(II):I 2 96 iadd ,cc.testbase.TemplateMethod:invoke3Methods:(II):I 3 25 aload 0,cc.testbase.TemplateMethod:invoke3Methods:(II):I 4 180 getfield cc.testbase.TemplateParent.pVar.I1,cc.testbase.TemplateMethod:invoke3Methods:(II):I 5 96 iadd ,cc.testbase.TemplateMethod:invoke3Methods:(II):I 6 54 istore 4,cc.testbase.TemplateMethod:invoke3Methods:(II):I 7 18 ldc ,cc.testbase.TemplateMethod:invoke3Methods:(II):I 8 58 astore 5,cc.testbase.TemplateMethod:invoke3Methods:(II):I 9 21 iload 4,cc.testbase.TemplateMethod:invoke3Methods:(II):I 10 8 iconst_5 ,cc.testbase.TemplateMethod:invoke3Methods:(II):I 11 164 if_icmple L467772424,cc.testbase.TemplateMethod:invoke3Methods:(II):I 12 25 aload 0,cc.testbase.TemplateMethod:invoke3Methods:(II):I 13 21 iload 4,cc.testbase.TemplateMethod:invoke3Methods:(II):I 15 58 astore 5,cc.testbase.TemplateMethod:invoke3Methods:(II):I 16 167 goto L323135501,cc.testbase.TemplateMethod:invoke3Methods:(II):I 19 8 iconst_5 ,cc.testbase.TemplateMethod:invoke3Methods:(II):I 20 188 newarray 10,cc.testbase.TemplateMethod:invoke3Methods:(II):I 21 58 astore 6,cc.testbase.TemplateMethod:invoke3Methods:(II):I 22 25 aload 0,cc.testbase.TemplateMethod:invoke3Methods:(II):I 23 25 aload 6,cc.testbase.TemplateMethod:invoke3Methods:(II):I 25 25 aload 0,cc.testbase.TemplateMethod:invoke3Methods:(II):I 26 25 aload 6,cc.testbase.TemplateMethod:invoke3Methods:(II):I 28 54 istore 7,cc.testbase.TemplateMethod:invoke3Methods:(II):I 29 21 iload 7,cc.testbase.TemplateMethod:invoke3Methods:(II):I 30 172 ireturn ,cc.testbase.TemplateMethod:invoke3Methods:(II):I 140000 21 iload 4,cc.testbase.TemplateMethod:invoke3Methods:(II):I 240000 25 aload 6,cc.testbase.TemplateMethod:sumArray:([I):I 0 3 iconst_0 ,cc.testbase.TemplateMethod:sumArray:([I):I 1 54 istore 3,cc.testbase.TemplateMethod:sumArray:([I):I 2 3 iconst_0 ,cc.testbase.TemplateMethod:sumArray:([I):I 3 54 istore 4,cc.testbase.TemplateMethod:sumArray:([I):I 4 167 goto L2131361171,cc.testbase.TemplateMethod:sumArray:([I):I 5 21 iload 3,cc.testbase.TemplateMethod:sumArray:([I):I 6 21 iload 4,cc.testbase.TemplateMethod:sumArray:([I):I 7 96 iadd ,cc.testbase.TemplateMethod:sumArray:([I):I 8 54 istore 3,cc.testbase.TemplateMethod:sumArray:([I):I 9 132 iinc 4,cc.testbase.TemplateMethod:sumArray:([I):I 10 21 iload 4,cc.testbase.TemplateMethod:sumArray:([I):I 12 190 arraylength ,cc.testbase.TemplateMethod:sumArray:([I):I 13 161 if_icmplt L1759969037,cc.testbase.TemplateMethod:sumArray:([I):I 14 21 iload 3
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 1 8 iconst_5 ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 2 96 iadd ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 3 54 istore 3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 4 187 new java/lang/StringBuilder,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 6 18 ldc ret > 5: ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 7 183 invokespecial java.lang.StringBuilder:init:(Ljava.lang.String):V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 9 182 invokevirtual java.lang.StringBuilder:append:(I):Ljava.lang.StringBuilder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 10 182 invokevirtual java.lang.StringBuilder:toString:():Ljava.lang.String,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 11 58 astore 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateMethod:fakeString:(I):Ljava.lang.String 12 25 aload 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
