head,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.Object 0 25 aload 0,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.Object 1 25 aload 1,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.Object 3 176 areturn ,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 0 178 getstatic java.lang.System.out.Ljava/io/PrintStream;,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 1 187 new java/lang/StringBuilder,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 3 18 ldc Template Parent do: ,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 4 183 invokespecial java.lang.StringBuilder:init:(Ljava.lang.String):V,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 6 182 invokevirtual java.lang.StringBuilder:append:(Ljava.lang.Object):Ljava.lang.StringBuilder,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 7 182 invokevirtual java.lang.StringBuilder:toString:():Ljava.lang.String,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 8 182 invokevirtual java.io.PrintStream:println:(Ljava.lang.String):V,cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 9 18 ldc 
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.Object 0 25 aload 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.Object 1 25 aload 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.Object 3 176 areturn ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 0 178 getstatic java.lang.System.out.Ljava/io/PrintStream;,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 1 187 new java/lang/StringBuilder,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 3 18 ldc Template Parent do: ,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 4 183 invokespecial java.lang.StringBuilder:init:(Ljava.lang.String):V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 6 182 invokevirtual java.lang.StringBuilder:append:(Ljava.lang.Object):Ljava.lang.StringBuilder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 7 182 invokevirtual java.lang.StringBuilder:toString:():Ljava.lang.String,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 8 182 invokevirtual java.io.PrintStream:println:(Ljava.lang.String):V,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cc.testbase.TemplateParent:doIt:(Ljava.lang.Number):Ljava.lang.String 9 18 ldc ,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
