head,0 21 iload 2,1 54 istore 5,2 21 iload 3,3 54 istore 6,4 25 aload 1,5 21 iload 2,6 21 iload 3,7 21 iload 2,8 100 isub ,9 5 iconst_2 ,10 108 idiv ,11 96 iadd ,12 46 iaload ,13 54 istore 7,14 167 goto L1289931605,15 132 iinc 5,16 25 aload 1,17 21 iload 5,18 46 iaload ,19 21 iload 7,20 161 if_icmplt L1033068770,21 167 goto L1729747990,22 132 iinc 6,23 25 aload 1,24 21 iload 6,25 46 iaload ,26 21 iload 7,27 163 if_icmpgt L1388338491,28 21 iload 5,29 21 iload 6,30 163 if_icmpgt L1289931605,31 25 aload 1,32 21 iload 5,33 46 iaload ,34 54 istore 8,35 25 aload 1,36 21 iload 5,37 25 aload 1,38 21 iload 6,39 46 iaload ,40 79 iastore ,41 25 aload 1,42 21 iload 6,43 21 iload 8,44 79 iastore ,45 132 iinc 5,46 132 iinc 6,47 21 iload 5,48 21 iload 6,49 164 if_icmple L381531395,50 21 iload 2,51 21 iload 6,52 162 if_icmpge L1310188746,53 25 aload 0,54 25 aload 1,55 21 iload 2,56 21 iload 6,57 183 invokespecial edu/columbia/psl/cc/Sort quickSort ([III)V,58 21 iload 5,59 21 iload 3,60 162 if_icmpge L1500894891,61 25 aload 0,62 25 aload 1,63 21 iload 5,64 21 iload 3,65 183 invokespecial edu/columbia/psl/cc/Sort quickSort ([III)V,66 177 return 
0 21 iload 2,0,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,3,100,4,5,100,6,6,6,6,6,2,7,3,4,2,3,4,4,2,4,4,4,3,4,4,4,4,2,4,2,4,3,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6
1 54 istore 5,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,2,100,1,2,100,3,4,100,5,5,5,5,5,1,6,2,3,1,2,3,3,1,3,3,3,2,3,3,3,3,1,3,1,3,2,3,3,3,4,4,4,4,4,3,4,4,5,5,3,5,4,5
2 21 iload 3,100,100,0,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,100,2,3,100,4,5,3,4,5,5,5,5,5,5,5,3,4,5,5,3,5,4,5,3,5,2,3,4,4,4,5,5,5,4,5,5,5,5,6,6,6,6,6,6
3 54 istore 6,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1,100,1,2,100,3,4,2,3,4,4,4,4,4,4,4,2,3,4,4,2,4,3,4,2,4,1,2,3,3,3,4,4,4,3,4,4,4,4,5,5,5,5,5,5
4 25 aload 1,100,100,100,100,0,100,100,100,100,100,100,100,1,2,100,100,100,100,100,3,4,5,100,6,6,6,3,4,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,8,8,8,7,8,8,8,8,9,9,9,9,9,9
5 21 iload 2,100,100,100,100,100,0,100,100,100,100,100,1,2,3,100,100,100,100,100,4,5,6,100,7,7,7,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,8,9,9,9,9,10,10,10,10,10,10
6 21 iload 3,100,100,100,100,100,100,0,100,1,100,2,3,4,5,100,100,100,100,100,6,7,8,100,9,9,9,6,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,10,11,11,11,11,12,12,12,12,12,12
7 21 iload 2,100,100,100,100,100,100,100,0,1,100,2,3,4,5,100,100,100,100,100,6,7,8,100,9,9,9,6,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,11,11,11,10,11,11,11,11,12,12,12,12,12,12
8 100 isub ,100,100,100,100,100,100,100,100,0,100,1,2,3,4,100,100,100,100,100,5,6,7,100,8,8,8,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,9,10,10,10,10,11,11,11,11,11,11
9 5 iconst_2 ,100,100,100,100,100,100,100,100,100,0,1,2,3,4,100,100,100,100,100,5,6,7,100,8,8,8,5,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,9,10,10,10,10,11,11,11,11,11,11
